[07/08/2020-12:29:38] APN deleted. (PHONE: 208220001006871, APN_ID: 4207) 
[07/08/2020-12:29:54] APN deleted. (PHONE: 208220001006871, APN_ID: 4206) 
[07/08/2020-12:30:00] APN added. (PHONE: 208220001006871, NAME: netgprs.com, MCC/MNC: 20822, APN: netgprs.com) 
[07/08/2020-12:30:14] Set default APN. (PHONE: 208220001006871, APN ID: 128) 
[07/08/2020-12:30:20] Set default APN. (PHONE: 208220001006871, APN ID: 4206) 
[10/08/2020-11:54:27] Set default APN. (PHONE: 010000000, APN ID: 4207, NAME: TEST, MCC/MNC: 20822, APN: net.co) 
[10/08/2020-11:54:44] APN deleted. (PHONE: 010000000, APN_ID: 4207, NAME: TEST, MCC/MNC: 20822, APN: net.co) 
[10/08/2020-11:54:53] Set default APN. (PHONE: 010000000, APN ID: 4206, NAME: apnTest, MCC/MNC: 20822, APN: netgprs.com) 
[10/08/2020-12:12:42] Set default APN. (PHONE: 208220001006871, APN ID: 4209, NAME: aaaa, MCC/MNC: 20822, APN: net) 
[10/08/2020-12:12:52] APN deleted. (PHONE: 208220001006871, APN_ID: 4209, NAME: aaaa, MCC/MNC: 20822, APN: net) 
[10/08/2020-12:12:59] Set default APN. (PHONE: 208220001006871, APN ID: 4206, NAME: apnTest, MCC/MNC: 20822, APN: netgprs.com) 
[10/08/2020-12:13:08] Set default APN. (PHONE: 208220001006871, APN ID: 128, NAME: mobiledata, MCC/MNC: 20822, APN: mobiledata) 
[10/08/2020-14:18:56] Set default APN. (PHONE: 208220001006871, APN ID: 4206, NAME: apnTest, MCC/MNC: 20822, APN: netgprs.com) 
[10/08/2020-16:02:35] Set default APN. (PHONE: 0644503010, APN ID: 128, NAME: mobiledata, MCC/MNC: 20822, APN: mobiledata) 
[10/08/2020-16:03:55] Set default APN. (PHONE: 0644503010, APN ID: 128, NAME: mobiledata, MCC/MNC: 20822, APN: mobiledata) 
[10/08/2020-16:04:52] Could not set default APN. (PHONE: 0644503010, APN ID: 4206, )
[10/08/2020-16:07:02] Set default APN. (PHONE: 0644503010, APN ID: 128, NAME: mobiledata, MCC/MNC: 20822, APN: mobiledata) 
[10/08/2020-16:09:47] Set default APN. (PHONE: 0644503010, APN ID: 128, NAME: mobiledata, MCC/MNC: 20822, APN: mobiledata) 
[10/08/2020-16:09:58] Set default APN. (PHONE: 0644503010, APN ID: 4206, NAME: apnTest, MCC/MNC: 20822, APN: netgprs.com) 
[10/08/2020-16:35:59] Set default APN. (PHONE: 0644503010, APN ID: 128, NAME: mobiledata, MCC/MNC: 20822, APN: mobiledata) 
[10/08/2020-16:41:37] APN added. (PHONE: 208220001006871, NAME: TEST, MCC/MNC: 20822, APN: net.cooo, ID: ) 
[10/08/2020-16:45:03] APN deleted. (PHONE: 208220001006871, APN_ID: 4207, NAME: TEST, MCC/MNC: 20822, APN: net.cooo) 
[10/08/2020-16:45:19] APN added. (PHONE: 208220001006871, NAME: test, MCC/MNC: 20822, APN: okok, ID: ) 
[10/08/2020-16:45:31] Set default APN. (PHONE: 208220001006871, APN ID: 4207, NAME: test, MCC/MNC: 20822, APN: okok) 
[10/08/2020-16:45:45] APN deleted. (PHONE: 208220001006871, APN_ID: 4207, NAME: test, MCC/MNC: 20822, APN: okok) 
