[22/07/2020-16:22:29] Call started by 0681384869. (FROM: 0681384869, TO: 0644503010, NB: 1, DURATION: 5sec.)  
[22/07/2020-16:22:37] Call answered by 0644503010. (FROM: 0681384869, TO: 0644503010, NB: 1, DURATION: 5sec.)  
[22/07/2020-16:22:44] Call terminated by 0681384869. (FROM: 0681384869, TO: 0644503010, NB: 1, DURATION: 5sec.)  
[22/07/2020-16:22:45] MTC Process successful. (FROM: 0681384869, TO: 0644503010, NB: 1, DURATION: 5sec.) 

[07/08/2020- 9:29:44] Call started by 0644503010. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.)  
[07/08/2020- 9:29:51] Call answered by 0681384869. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.)  
[07/08/2020- 9:29:57] Call terminated by 0644503010. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.)  
[07/08/2020- 9:29:58] MTC Process successful. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.) 

[11/08/2020-11:56:56] Call started by 0644503010. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.)  
[11/08/2020-11:57:06] Call answered by 0681384869. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.)  
[11/08/2020-11:57:11] Call terminated by 0644503010. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.)  
[11/08/2020-11:57:11] MTC Process successful. (FROM: 0644503010, TO: 0681384869, NB: 1, DURATION: 4sec.) 

[11/08/2020-12:12:24] Call started by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 1, DURATION: 3sec.)  
[11/08/2020-12:12:32] Call answered by 0644503010. (FROM: +33644517664, TO: 0644503010, NB: 1, DURATION: 3sec.)  
[11/08/2020-12:12:37] Call terminated by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 1, DURATION: 3sec.)  
[11/08/2020-12:12:37] MTC Process successful. (FROM: +33644517664, TO: 0644503010, NB: 1, DURATION: 3sec.) 
[11/08/2020-12:12:38] Call started by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 2, DURATION: 3sec.)  
[11/08/2020-12:12:46] Call answered by 0644503010. (FROM: +33644517664, TO: 0644503010, NB: 2, DURATION: 3sec.)  
[11/08/2020-12:12:50] Call terminated by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 2, DURATION: 3sec.)  
[11/08/2020-12:12:50] MTC Process successful. (FROM: +33644517664, TO: 0644503010, NB: 2, DURATION: 3sec.) 
[11/08/2020-12:12:51] Call started by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 3, DURATION: 3sec.)  
[11/08/2020-12:12:59] Call answered by 0644503010. (FROM: +33644517664, TO: 0644503010, NB: 3, DURATION: 3sec.)  
[11/08/2020-12:13:03] Call terminated by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 3, DURATION: 3sec.)  
[11/08/2020-12:13:03] MTC Process successful. (FROM: +33644517664, TO: 0644503010, NB: 3, DURATION: 3sec.) 
[11/08/2020-12:13:04] Call started by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 4, DURATION: 3sec.)  
[11/08/2020-12:13:14] Call answered by 0644503010. (FROM: +33644517664, TO: 0644503010, NB: 4, DURATION: 3sec.)  
[11/08/2020-12:13:19] Call terminated by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 4, DURATION: 3sec.)  
[11/08/2020-12:13:19] MTC Process successful. (FROM: +33644517664, TO: 0644503010, NB: 4, DURATION: 3sec.) 
[11/08/2020-12:13:20] Call started by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 5, DURATION: 3sec.)  
[11/08/2020-12:13:29] Call answered by 0644503010. (FROM: +33644517664, TO: 0644503010, NB: 5, DURATION: 3sec.)  
[11/08/2020-12:13:33] Call terminated by +33644517664. (FROM: +33644517664, TO: 0644503010, NB: 5, DURATION: 3sec.)  
[11/08/2020-12:13:33] MTC Process successful. (FROM: +33644517664, TO: 0644503010, NB: 5, DURATION: 3sec.) 

